BUY_ID,TOTAL_PRICE,DATE,MAIL
26,2334,"2023-05-28 16:42:21",fdsfds@gmail.com
16,700,"2023-05-27 17:20:56",hhhh@gmail.com
24,2000,"2023-05-26 09:50:37",fdsfds@gmail.com
1,1200,"2023-05-25 16:42:21",usagihime@gmail.com
2,3400,"2023-05-25 16:42:21",orangecat@gmail.com
15,1300,"2023-05-25 08:45:39",fdsfds@gmail.com
23,950,"2023-05-23 15:25:09",hhhh@gmail.com
14,1700,"2023-05-22 15:35:07",fdsfds@gmail.com
4,1200,"2023-05-20 16:42:21",illumy.design@gmail.com
13,1000,"2023-05-20 10:25:14",hhhh@gmail.com
22,2200,"2023-05-19 10:55:24",hhhh@gmail.com
12,500,"2023-05-17 13:55:52",hhhh@gmail.com
21,850,"2023-05-16 12:40:51",fdsfds@gmail.com
11,1800,"2023-05-15 11:10:29",hhhh@gmail.com
20,1400,"2023-05-13 16:15:33",hhhh@gmail.com
10,900,"2023-05-12 18:40:11",hhhh@gmail.com
5,1200,"2023-05-11 16:42:21",fdsfds@gmail.com
9,1200,"2023-05-10 14:20:33",fdsfds@gmail.com
19,1900,"2023-05-09 09:30:42",hhhh@gmail.com
8,2000,"2023-05-07 16:55:18",fdsfds@gmail.com
18,1100,"2023-05-06 11:05:17",fdsfds@gmail.com
7,800,"2023-05-05 09:15:22",fdsfds@gmail.com
17,1600,"2023-05-03 14:50:28",fdsfds@gmail.com
6,1500,"2023-05-02 12:30:45",fdsfds@gmail.com
